Report generated on: 03-22-2025 16:43:44
"API","","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"","consumed natural gas CO2 emissions (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4010-8-BEN-MMTCD.A","        Benin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.077902713","0.037150648","0.108620457","0.319696102","0.354872467","0.3069389","0.306421087"
"INTL.4010-8-BMU-MMTCD.A","        Bermuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4010-8-BTN-MMTCD.A","        Bhutan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4010-8-BOL-MMTCD.A","        Bolivia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.69302618","1.03953927","0.63668","0.79585","0.742793333","0.583623333","0.742793333","0.742793333","1.008076667","1.379473333","1.5917","1.379473333","1.697813333","1.592761133","1.854861067","2.387753738","2.055913137","2.623736766","1.703470885","1.76221126","2.467095765","1.605570259","1.997172762","4.385948026","4.190146775","4.131406399","4.699230028","4.914611404","5.621453921","5.541175408","5.325794032","4.699230028","6.246059912","6.598502164","6.261724012","5.286633781","6.24213577","6.234303786","6.30054007","7.202729462","5.79746488","6.643146601","7.335686545","7.881444722"
"INTL.4010-8-BIH-MMTCD.A","        Bosnia and Herzegovina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","0.930537532","0.74525495","0.770009281","4.553739098","0.260218926","0.260218926","0.371741323","0.371741323","0.557611984","0.557611984","0.297393058","0.297393058","0.557611984","0.761470129","0.761470129","0.609176103","0.59013935","0.399771818","0.437845324","0.494955584","0.456882077","0.456882077","0.321721129","0.380735064","0.397867997","0.432133862","0.431389533","0.415485243","0.37162101","0.428861991","0.429892057","0.435661485"
"INTL.4010-8-BWA-MMTCD.A","        Botswana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4010-8-BRA-MMTCD.A","        Brazil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.00385624","3.00385624","2.70175158","3.34782261","4.34629602","5.40350316","5.2860357","6.16704165","5.69717181","7.22424879","6.047133583","7.409920595","8.116964288","8.056124267","8.398233653","8.788348712","9.840652355","10.756515049","11.302135378","12.744131961","18.395199649","21.863786024","26.092343571","27.553826594","33.555650208","36.891916158","38.339046668","39.369879361","46.883063791","37.10997692","49.955738162","49.678206283","59.966709499","70.808294103","74.899906943","78.085576436","66.648896174","68.087097439","64.86363154","63.192743669","56.971004229","73.164528845","56.7416997","53.025993853"
"INTL.4010-8-VGB-MMTCD.A","        British Virgin Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4010-8-BRN-MMTCD.A","        Brunei","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.8646476","3.993469187","4.508755533","3.349361253","2.834074907","3.413772047","2.12555618","3.67141522","3.09171808","3.67141522","2.962896493","1.8368218","2.142958767","1.751409586","1.513541163","2.097650496","1.686551409","1.902775948","1.643306501","2.0402303","2.157935894","2.64837587","3.27613904","3.393844634","3.923519808","4.610135774","7.827422017","8.252646123","8.333825884","4.940768203","5.809732282","5.907539223","5.770609505","5.262013413","6.240082821","6.807363078","7.45875177","7.695442556","7.977883709","7.569048758","8.151151855","7.782469175","7.370399047","7.650030479"
"INTL.4010-8-BGR-MMTCD.A","        Bulgaria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.0153888","8.314191893","9.0153888","9.215730773","9.065474293","10.96872304","11.25729825","11.157233377","11.057168503","11.157233377","12.082583293","9.720799828","10.276474087","9.033651409","8.82963741","10.933283309","11.517000022","9.573013592","7.114574304","6.295413069","6.015201805","5.454779277","5.624210807","5.624210807","5.831242834","6.559752177","6.785541295","6.402419858","6.158914302","3.971636326","4.892445578","6.086664578","5.734138427","5.730325037","5.508816675","6.070056313","6.125135738","6.381312799","6.027753255","5.642436938","5.714654126","6.47181218","5.329594691","5.021027253"
