Report generated on: 03-22-2025 16:43:03
"API","","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"","coal and coke CO2 emissions (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4002-8-ARM-MMTCD.A","        Armenia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","0.35133338817034215","0.2205177665987413","0.0897021450271473","0.051080391593933946","0.04017516978907754","0.02926994798422147","0.018364726179365565","0.012736336919675753","0.0060737497930986855","0.004687995211687507","0.004485106121129507","0.006807370351110729","0.003953347053591833","0.0017292558391950475","0.0027882381614686637","0.006802404093663479","0.006249241562970009","0.0008920368738210741","0.005790764510503211","0.007507561734142141","0.006603066244764888","0.003152398510729008","0.0024840500505722315","0.0027976529887909414","0.002848839375426815","0.003707182164699603","0.004416816179560155","0.011522964521354737","0.032226880584935405","0.04816176645973482","0.060418784915406386","0.04773347278612561"
"INTL.4002-8-ABW-MMTCD.A","        Aruba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.315803689102805e-7"
"INTL.4002-8-AUS-MMTCD.A","        Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","126.71679775393228","129.72317673376753","133.86317474472295","125.37948305898252","120.1325595576195","129.28104293945887","127.91722168118787","140.74597583104128","140.02025305888148","153.13029883879082","136.37727692054014","139.1607401644766","143.39929556196287","143.17533249835995","142.05879529392337","145.38373861375626","158.25002321929597","164.61155030215022","177.50677948961317","181.00581975973242","181.01055029591757","180.96498497119325","183.62806864266008","177.52250266888132","185.51317043628853","188.71193513747008","192.0226588350248","192.5879370756678","188.6968077474577","195.76788030073737","185.61966074741076","177.38380483308427","173.91030366178478","161.3637072311084","152.78696082724863","157.999239402613","163.96059376683723","162.8534700447685","165.69936267934173","160.96787967099272","151.62776089949392","157.96145333244158","157.48569637533575","146.81000298846195"
"INTL.4002-8-AUT-MMTCD.A","        Austria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.968134816941063","13.396778650578948","12.023916192069402","12.873903453532272","15.558262156295356","15.580287154216473","12.096906463086844","12.48853501232753","12.18877382658075","12.305240890421123","14.008705383371312","15.097410109957611","10.720414692116329","9.284175137618156","9.677810964528339","11.785758037513025","12.396049417729012","12.676721606288627","10.583225754962248","11.618278592560353","12.645357964534705","14.030226089966405","13.395631108501899","15.222878046261544","15.700198461232215","15.948358809384345","14.863296136584115","14.046209415159112","13.478128687298197","9.742799465330105","12.304906868304634","12.095669214185996","11.70797856833879","12.008401050996566","11.205085239638642","11.967926710380212","11.230113679329772","11.864013919872137","10.384165498079478","10.507913733946198","9.328810357978634","9.511334410119511","9.445856771992135","10.526751364277006"
"INTL.4002-8-AZE-MMTCD.A","        Azerbaijan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","0.06369353734007667","0.009436088324726978","0.002359016731015322","0.014154121786757628","0.00471804416236342","0.007304116253738935","0.009890188345114664","0.010505301957726846","0.011120415570339243","0.005626254903471775","0.013347316664085243","0.008086709353920824","0.010584908072066256","0.011389332777342403","0.03884356949289936","0.028036913848118898","0.02641391033718037","0.015029295593299258","0.017598264813375016","0.01333552158043019","0.013880454445294716","0.012823614949799854","0.0048276590286837045","0.0003421033630305561","0.000732878237704342","0.00617810746048954","0.005768387991054602","0.0294978270825863","0.044843444377446924","0.059949085026818554","0.13613796362505376","0.016858973575337537"
"INTL.4002-8-BHR-MMTCD.A","        Bahrain","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.004502218390106919","-0.0014011318648969344"
"INTL.4002-8-BGD-MMTCD.A","        Bangladesh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.07920270998233304","0.07180263155417058","0.08264287286205885","0.06154629632793962","0.143678581294568","0.10550095954378447","0.12054019450244477","0.1334601503140587","0.14638010612567087","0.15767426895630543","0.17227427402668227","0.15352592124903447","0.33653693257348494","0.4054564111016893","0.4752943692999421","0.5177492564225528","0.6121084803673036","0.893868576461486","1.346019754911079","1.8471389772746103","2.0714168480307467","2.0113244691429895","2.1370310389746923","2.4068576213856274","2.5737291531208784","3.1011635439698386","3.7351031851657424","4.035819805529486","4.356276338113382","4.455136167095714","4.564486544404013","4.677082164255998","4.721276213501415","5.286579839125091","6.812242182474859","8.14139640875187","8.213226493670684","9.728529083627683","10.605275747702022","11.975470258694184","13.962444539431026","16.087190348901117","15.209557391575249","26.966928097801215"
"INTL.4002-8-BRB-MMTCD.A","        Barbados","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000177076530454102","0.000002149626544849339"
"INTL.4002-8-BLR-MMTCD.A","        Belarus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","1.753268517853294","1.7353874925000916","1.5374463814050021","1.70335082657479","1.7484511715088193","1.5719948301089266","1.6749979790216412","1.4968163879026162","1.205273397119458","0.8777707785330203","0.7921431335303127","0.8386290540195396","0.8526358999501675","0.6608054905507769","0.527344471915792","0.4495139355543208","0.3638526499944727","0.33217357885938814","0.4402348344923063","0.4920089284032337","1.157397860511607","1.573172670419052","2.003346918285323","1.7855056103623188","1.5924616599705574","1.689622654777855","1.1747480674884807","0.9382974987804475","0.7419781812015163","0.587822285607756","1.9423622691990015","1.49666964192271"
"INTL.4002-8-BEL-MMTCD.A","        Belgium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.061195014711245","43.90170966505786","42.18638464721295","37.79533288187852","42.449570984466526","39.70047830953922","35.85387363965117","36.18865248678475","38.04395691156405","39.63780103459779","41.826680184568524","40.06973349855881","36.18007903540485","33.56347762939211","36.90756625145146","35.68379063927819","33.23701474771176","30.46213923753095","31.377429063416972","27.430857658204054","29.189039099117863","27.917241111137113","23.57259839844947","21.95717294720171","20.866726543320546","19.689496426080158","18.317935035548068","17.479384685830812","17.49211513097223","10.891420047709538","13.256518826261866","12.7046945716936","11.926862591543191","12.603332042360687","11.29965491313181","10.55531504917712","9.940550326919125","9.656882090910477","9.82993892332396","10.301335956240564","7.951250736399878","8.797731563390197","8.363223082582028","8.166008921501538"
"INTL.4002-8-BLZ-MMTCD.A","        Belize","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000003231299302613052"
