Report generated on: 03-22-2025 16:44:10
"API","","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"","petroleum and other liquids CO2 emissions (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4006-8-BLZ-MMTCD.A","        Belize","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2255","0.2","0.2","0.2","0.2","0.2","0.3","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.7","0.9","0.8","0.8","0.9","1","1","1.0733138116678167","1","0.5","0.5","0.4230498762017057","0.47643241162906474","0.516362348897542","0.5057002030830186","0.597846","0.591488","0.6765894594033796","0.5777129545499713","0.779278","0.6101533","0.6601845","0.6722468","0.6622468"
"INTL.4006-8-BEN-MMTCD.A","        Benin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.42067","0.4","0.3","0.4","0.4","0.5","0.5","0.4","0.5","0.5","0.6","0.7","0.8","0.8","0.9","1","1","1.1","1.2","1.3","1.7","1.7","1.7","2.1","2.4","2.5","3","3.295630943485813","3.4","4.5","5.1","4.716966088193975","4.368430007488593","4.535651236817124","4.751106012576602","5.278207","6.31492944","6.623013","7.420494","6.7695808","7.0499192","4.8478191","5.128824","5.263"
"INTL.4006-8-BMU-MMTCD.A","        Bermuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5307","0.5","0.5","0.5","0.5","0.5","0.5","0.7","0.8","0.9","0.7","0.5","0.4","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.6","0.6","0.6","0.6","0.768531145515325","0.8","0.7","0.7","0.5271355385074354","0.5592539267173964","0.5803918320664254","0.7475554192224718","0.638996","0.813297","0.7754160327238486","0.797279806","0.6550833","0.4880709","0.5750722","0.5860833","0.5770833"
"INTL.4006-8-BTN-MMTCD.A","        Bhutan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00273","0.0232","0.0295","0.02676","0.02414","0.03115","0.02909","0.03043","0.02948","0.03024","0.07744","0.07715","0.08126","0.08108","0.09223","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.17189339234738468","0.2","0.3","0.3230579908203634","0.38101366580662993","0.4344209774779315","0.45900139588902816","0.42911811924382887","0.45724348015889094","0.52812513","0.5739718","0.64191316","0.603","0.421","0.426","0.447","0.492"
"INTL.4006-8-BOL-MMTCD.A","        Bolivia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.44582","3.6","3.4","3.3","3.3","3","2.9","2.7","2.9","3.2","3.3","3.4","3.5","3.4","3.9","4.4","4.4","4.5","5","6.3","6.3","6.1","6.9","6.8","7.2","7.1","7.8","6.172890130845871","8.1","7.2","8","8.548488478166725","9.238645606907625","9.207521755670573","9.919693003981155","10.650584","11.011997","11.857834","12.066285","12.3934313","10.2754099","12.7505801","13.867091","13.647"
"INTL.4006-8-BIH-MMTCD.A","        Bosnia and Herzegovina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","5.3","3.4","3.1","3","2","2","2.3","2.4","3","3","3.1","3.3","3.8","4","3.7","3.6606099040360927","3.9","3.8","4.83864917104601","4.882621172386952","4.479675103810953","4.33038356576567","4.403228437739992","4.536242","5.108585","5.008164914","4.845129","4.713912","4.334832","4.900376","4.783144","4.785"
"INTL.4006-8-BWA-MMTCD.A","        Botswana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.41783","0.4","0.3","0.3","0.3","0.5","0.5","0.6","0.7","0.8","0.9","1","1.2","1.1","1.1","1.1","1.1","1.3","1.3","1.3","1.9","1.6","1.5","1.5","1.9","2","2.1","2.143661502911946","2.2","2.6","2.7","2.75764129692994","2.754874252640623","2.9794735634085017","3.08549508189706","3.4256","3.233526","2.920058815895322","3.056143815909416","3.0226827","2.7346589","2.8460139","2.969","3.079"
"INTL.4006-8-BRA-MMTCD.A","        Brazil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162.77677","153","149","137","145","152","172","175","177","182","197","199","192","213","225","243","257","273","271","280","255.2289733123763","257.0716303969585","252.37227483737345","241.94458250155782","250.12740373014827","252.7718618119324","258.29531711126094","268.11473205186047","281.3578495377291","274.89356017726976","301.06057925935363","318.58472115023574","340.6680181760316","353.7875584637058","363.10499259351593","350.43690608","335.421395","337.945777","320.104603","279.0781453","274.5402808","298.2167947","321.5701918","331.0792273"
"INTL.4006-8-VGB-MMTCD.A","        British Virgin Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.02217","0.03498","0.03468","0.03498","0.0321","0.03275","0.03777","0.04407","0.04723","0.05039","0.05039","0.05039","0.0541","0.05411","0.05413","0.05406","0.0604","0.06039","0.06036","0.06036","0.06038","0.06038","0.06039","0.0699","0.08895","0.09531","0.1","0.11115614974374788","0.1","0.1","0.2","0.1786522600085397","0.17770872839943788","0.17721216110232907","0.1798636226820422","0.183908","0.186382","0.1742580527109982","0.2166353158910171","0.188","0.184","0.188","0.19","0.188"
"INTL.4006-8-BRN-MMTCD.A","        Brunei","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6486","0.7","0.5","0.7","0.8","0.9","0.7","0.8","0.9","0.9","0.9","1.4","1","1.2","1.4","1.4","1.8","1.8","1.6","1.6","1.6","1.6","1.6","1.8","1.9","2","2","1.933440321066737","2.2","2.3","2.4013806838075906","2.574352624368715","2.471166687621833","2.4393575704638053","2.347091783751068","2.480328","2.28527187191","2.1382250638860345","2.2473139708619887","2.3459102","2.255588","1.939581","2.078602","2.175"
