Report generated on: 03-22-2025 17:03:28
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"INTL.4411-2-ARM-QBTU.A","        Armenia","--","--","--","--","--","--","--","--","--","--","--","--","0.0034480892823116217","0.002164226268184215","0.0008803632540568747","0.0005013179980091409","0.00039429094139382964","0.00028726388477852145","0.00018023682816321505","0.0001240953312891438","0.000059609568205547214","0.00004600936486318392","0.00004401815161045485","0.00006680953629437106","0.000038799311604677525","0.00001697142579176757","0.00002736459000142344","0.00006676079598202487","0.00006133189608898149","0.000008754712440133685","0.000056832267348800074","0.00007368142062045451","0.000064804435660207","0.00003093856685533591","0.00002457096232864543","0.000027496572746530185","0.000028300834305684048","0.00003720541438057191","0.000044048548546175296","0.00011220672398596684","0.0003119039078948917","0.000468239745322671","0.0005856964477640704","0.0004620699691088148"
"INTL.4411-2-ABW-QBTU.A","        Aruba","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4411-2-AUS-QBTU.A","        Australia","1.3439878230370932","1.3732790993543655","1.4155904401306496","1.325099439945266","1.2670145448543433","1.362513119467057","1.3542804892159734","1.4887685490745979","1.5008402492736046","1.639530715041493","1.4543721542206627","1.4886880300541119","1.5275744168854475","1.5224962343190322","1.5061404362889843","1.5368333426342538","1.6718129678996578","1.735225072747348","1.8650177101753753","1.897999192397376","1.8989455306375669","1.8964414783190482","1.9247937883679813","1.855648777282808","1.9400434969440277","1.969980022701546","2.0040283794428158","2.0213485187015157","1.9997295169634919","2.0460074613865658","1.9611023732866124","1.8809353135640654","1.8457057720368186","1.7197521405921765","1.6238852002354534","1.6785606570062606","1.7333865698243232","1.7136469984169018","1.750054627382094","1.6969312797035991","1.602947598366578","1.6707524457094538","1.6568287762120084","1.5327703035157816"
"INTL.4411-2-AUT-QBTU.A","        Austria","0.1002475180008964","0.10460161223072123","0.09437602768984484","0.10259438535778628","0.12371669095527064","0.11753386710005302","0.0947486492866867","0.10035298653473045","0.09586050999266556","0.09871060340885586","0.1167706906986113","0.12537459161797437","0.08739131191052087","0.07610655636715342","0.07920497573335226","0.09713688232447559","0.10568701174506481","0.10481691292030414","0.08737717478361201","0.09760986416706394","0.09715554457183273","0.10767627376972651","0.10181436811435689","0.1172172616769395","0.11895779754014413","0.11697510794774638","0.10983818881613099","0.09622061665941935","0.0909985761581619","0.0730643167615928","0.0845134984102355","0.08659704304116395","0.08089501176163447","0.08181218693465812","0.07722386629020192","0.09147638231873893","0.08573054198715814","0.08469189090635663","0.08096185526031276","0.0777984502725176","0.06979891943076476","0.06812686928203193","0.07250598810040285","0.07828171114751106"
"INTL.4411-2-AZE-QBTU.A","        Azerbaijan","--","--","--","--","--","--","--","--","--","--","--","--","0.0006826182269212694","0.00010112871965182438","0.000025282122573997233","0.00015169296479981874","0.00005056435982591139","0.00007827988669765547","0.00010599541356940187","0.00011258772703057097","0.00011918004049174237","0.00006029786233898588","0.0001430462495236823","0.00008666711618366574","0.00011344088398953103","0.00012206208778726326","0.00041629543030344995","0.0003004780267919764","0.00028308392646106645","0.00016107240291894328","0.00018860463440202702","0.00014291983891081254","0.00014876000922540576","0.00013743361831225503","0.00005171822925641742","0.0000036277089622411457","0.000007757907900581279","0.00006546903439131291","0.00006127982055766177","0.0003161587797805895","0.00048043117440354057","0.0006425268991845941","0.0014275355467682602","0.00013573509089645136"
"INTL.4411-2-BHR-QBTU.A","        Bahrain","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4411-2-BGD-QBTU.A","        Bangladesh","0.00048533979419390313","0.00050805782711362","0.0006195827159922043","0.0003366399423557718","0.001280470946383899","0.0010853966904153874","0.0012401192238178258","0.0013730415587518156","0.0015059638936857874","0.0016221623299755813","0.0017723666767336605","0.0015794815651217543","0.003462301761200534","0.004171344773249035","0.004889835827630325","0.005326617289311143","0.006297399505758886","0.00919616001438859","0.01384791162218883","0.019003448662526404","0.021310818892706355","0.020692596368377957","0.021985871198116937","0.024761856482771603","0.026478649404933732","0.03201695981916376","0.03861701143920633","0.041842886182826354","0.045271859147561565","0.046305924480551236","0.047438950960446535","0.04852829078971783","0.04902199719284505","0.05488339101709387","0.07062486046804738","0.08457716562509793","0.08573450317577441","0.10142913759368838","0.1101421776354132","0.12435127902719824","0.14465684624850286","0.1669280958142299","0.1579056811655591","0.2779068839856909"
"INTL.4411-2-BRB-QBTU.A","        Barbados","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4411-2-BLR-QBTU.A","        Belarus","--","--","--","--","--","--","--","--","--","--","--","--","0.01839760172088496","0.01819912188368767","0.016221703474039468","0.017721698987223672","0.018074495626007166","0.0161827220292966","0.014741514841672852","0.013238539187604115","0.01004999384471422","0.0060472633104180756","0.0059787869655020245","0.005913729544063773","0.005970157245429417","0.004287458461332956","0.002597751387522457","0.0018886590525261503","0.0010970288593097923","0.0012496218787289505","0.002016444714101498","0.002315428731196031","0.009132671362433975","0.013853421861464927","0.01900721986320616","0.017122224496057055","0.014760257552953135","0.015354532922981381","0.009944536693811065","0.007648055798239088","0.006050075828028293","0.005227796792407465","0.01890603306750158","0.015816239819886214"
"INTL.4411-2-BEL-QBTU.A","        Belgium","0.4636281793145481","0.4575637991692998","0.44840088548844087","0.4098551652068625","0.455290636447587","0.4304000014062028","0.38542160494867417","0.3961978417860205","0.41127964352024854","0.42936415757453783","0.450185904359064","0.4263405819777432","0.39191482891114254","0.3651024985994448","0.37269470756710904","0.35664005885535516","0.34627580404066244","0.32019203427904963","0.3062723074990226","0.2687826012263933","0.28342933546076426","0.26933573333813965","0.24616134993971414","0.23019642282088715","0.2155622629468116","0.20504582679228248","0.19928005392535691","0.18221270539256076","0.1597294823919202","0.12371086368790828","0.15422654686997708","0.1447168565936598","0.1446807990141837","0.1436671052122254","0.12723343875854531","0.11680243502811181","0.10428235170435497","0.10049604450728394","0.10079690465088138","0.10127543459876202","0.08191979885898222","0.08828416845175506","0.08295505796843103","0.07047405946643676"
"INTL.4411-2-BLZ-QBTU.A","        Belize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4411-2-BEN-QBTU.A","        Benin","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00008140235466462931","0.000038774654048315004","0.000002493753761457703","0.0000012294206043986476","0.000064568521767039","0.00003874400581458669","0.000031716956840325484","0.0009610009295273771","0.0010379112132226336","0.0019857511827111544","0.0029925045137492437","0.0029879908194410053","0.0029386419262555185","0.0019511279054870755","0.003932631252978501","0.0011004143680137608","0.0038931193121169503"
"INTL.4411-2-BMU-QBTU.A","        Bermuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.021754503359268e-8"
