Report generated on: 03-21-2025 16:48:31
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"INTL.4411-1-BEN-QBTU.A","        Benin","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4411-1-BMU-QBTU.A","        Bermuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4411-1-BTN-QBTU.A","        Bhutan","8.294565944213266e-7","0.0000014929315807790242","0.0000021564065671367217","0.0000028198815534944193","0.000006635050827508188","0.000006668186956334672","0.000013270252136981983","0.000030355673547977734","0.000030461844593991525","0.00003663252312383557","0.00004280320165367961","0.000048973880183523655","0.00005271875571983559","0.0007630377673338595","0.001061617763247109","0.0010505592448799565","0.001061617763247109","0.0008957399877397482","0.0010226198982253283","0.0011494998087109086","0.0012763797191964888","0.001219357013618331","0.0012162280917998017","0.0011001677582750196","0.0012439222646368174","0.001414589081749222","0.0015170444674899792","0.001425717265065273","0.0013884633321068125","0.001302886987722565","0.0014566390978403379","0.001640597550878001","0.0016377278653617235","0.0012896001779044255","0.001358389691407328","0.0014126814873308873","0.001953708439925695","0.002687219963219244","0.003101914401987646","0.003068738846886174","0.0026093572836113576","0.0030853266244369104","0.0034510166032119035","0.00008377603516710675"
"INTL.4411-1-BOL-QBTU.A","        Bolivia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4411-1-BIH-QBTU.A","        Bosnia and Herzegovina","--","--","--","--","--","--","--","--","--","--","--","--","0.021748806338777744","0.018848965493607116","0.020298885916192305","0.02377869493039624","0.02450365514169004","0.07906416064356904","0.10200190172886643","0.09818861101746712","0.10785958023611053","0.1094979903136313","0.11562286267287165","0.10398847666043538","0.08176710229535214","0.08359948272700697","0.08548169692358577","0.08892976717974006","0.0980246105184688","0.09720613043991955","0.09269842934053173","0.10297710370589273","0.10106721052844651","0.09043018833064366","0.09057206583088283","0.08892255957868038","0.09409316186362786","0.104283154493947","0.10407672333878196","0.09688482644793217","0.09266741435903818","0.09840105610066543","0.20367871237897053","0.18609793108523517"
"INTL.4411-1-BWA-QBTU.A","        Botswana","0.008262057228150871","0.008484743814840564","0.00924191255422266","0.008796519178115546","0.008751979840504834","0.009731845267940489","0.010912137714624346","0.01084532870820828","0.013562228302461688","0.014764790417950903","0.017682117031452515","0.017459420343398955","0.020064971593625584","0.01982000523676667","0.020064971593625584","0.020265398612873787","0.01621231889029903","0.01728126299295611","0.02057717397614877","0.01601189187105083","0.020933488677034463","0.020376746956900567","0.021222994371504086","0.01832793742680783","0.020287668281679144","0.021935623773275473","0.02142342139075229","0.01843928577083461","0.020265398612873787","0.01643501557835259","0.02200243277969154","0.017548499018620378","0.032758682812678394","0.033315424532811486","0.038212317264506815","0.04653421191796969","0.041920440174820335","0.049608123411116326","0.04839317455167178","0.04717820332661528","0.04193912094227797","0.0443400685494006","0.05883813221334136","0.0496998499521411"
"INTL.4411-1-BRA-QBTU.A","        Brazil","0.08352127094422467","0.09064336329677491","0.10111140507669777","0.10734124424861533","0.11980092259245045","0.12287600944713098","0.11776148675100429","0.10968340884777615","0.1168055012003264","0.10628966014286965","0.07321256008941479","0.08266088394861457","0.07537946067095133","0.07321256008941479","0.08180049695300447","0.08283614796623885","0.07655850951678739","0.0899741734113004","0.08788693829232035","0.09018130361394727","0.1084406276318949","0.09008570505887949","0.08195982787811745","0.07402514780749099","0.08613429811607755","0.09966149365816965","0.09371845015145545","0.0950408968298932","0.10534960768470307","0.09096202514700087","0.08627769594867923","0.08771167427469606","0.10541334005474826","0.1369289970420959","0.1278243254330377","0.12809034440466063","0.11009965975838212","0.08081301554156922","0.0814666193361987","0.09108276110548083","0.09028472234919935","0.11256884248249988","0.09578500217417267","0.09883833818371689"
"INTL.4411-1-VGB-QBTU.A","        British Virgin Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4411-1-BRN-QBTU.A","        Brunei","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4411-1-BGR-QBTU.A","        Bulgaria","0.2109076548743789","0.20412242200978764","0.22488300075391773","0.22610462189723407","0.23494217828259678","0.215563776603476","0.24588092303446357","0.25702210786150853","0.23836969817613002","0.23942378270550582","0.2211134269402559","0.1981818529071465","0.21168251171385383","0.20266345733005556","0.20074376696198704","0.2152147419910999","0.21850962873193025","0.20738240528938034","0.21019562426513166","0.1765975524778088","0.18451365748649864","0.18576320139880506","0.18162365089602459","0.19056591766510012","0.1848836341756173","0.17238819505255312","0.17925021553186712","0.19862163651874037","0.20096714911390773","0.18977709944113014","0.2052672555383812","0.25917914176599277","0.23334359975791427","0.19979439281632405","0.21328784690014532","0.24360260848989104","0.21225647911927142","0.23682488964317747","0.21120288059553569","0.19541422131363478","0.15561928167358074","0.19742850477841603","0.23409008039476836","0.13821774970518036"
